パビリオン名称,status
ルクセンブルク,該当なし: 検索条件を変えて検索してください。
ドイツ,該当なし: 検索条件を変えて検索してください。
大韓民国,該当なし: 検索条件を変えて検索してください。
カザフスタン,該当なし: 検索条件を変えて検索してください。
コモンズ,該当なし: 検索条件を変えて検索してください。
アルメニア,該当なし: 検索条件を変えて検索してください。
デジタルウォレットパーク,該当なし: 検索条件を変えて検索してください。
アゼルバイジャン,該当なし: 検索条件を変えて検索してください。
夜の地球,該当なし: 検索条件を変えて検索してください。
モナコ,該当なし: 検索条件を変えて検索してください。
トルコ,該当なし: 検索条件を変えて検索してください。
タイ,"該当あり（4 件）: ['国連パビリオン', 'タイパビリオン（一般入館）', 'タイパビリオン（障がい者用）', '「エシカルリビング」の促進 アジェンダ2025 主催プログラム']"
スペイン,該当なし: 検索条件を変えて検索してください。
サウジアラビア王国,該当なし: 検索条件を変えて検索してください。
オーストラリア,該当あり（1 件）: ['オーストラリアパビリオン 「Chasing the Sun ― 太陽の大地へ」']
インドネシア,該当なし: 検索条件を変えて検索してください。
ウズベキスタン,該当なし: 検索条件を変えて検索してください。
エジプト,該当なし: 検索条件を変えて検索してください。
セネガル,該当なし: 検索条件を変えて検索してください。
バングラデシュ,該当なし: 検索条件を変えて検索してください。
セルビア,該当なし: 検索条件を変えて検索してください。
アルジェリア,該当なし: 検索条件を変えて検索してください。
カンボジア,該当なし: 検索条件を変えて検索してください。
チュニジア,該当なし: 検索条件を変えて検索してください。
コモンズ,該当なし: 検索条件を変えて検索してください。
イタリア・バチカン,該当なし: 検索条件を変えて検索してください。
シンガポール,該当なし: 検索条件を変えて検索してください。
ブルガリア,該当なし: 検索条件を変えて検索してください。
オランダ,該当あり（1 件）: ['オランダパビリオン\u3000コモングラウンド']
オマーン,該当なし: 検索条件を変えて検索してください。
ハンガリー,該当あり（1 件）: ['ハンガリー 没入型体験\u3000ひとつの世界、ひとつの心']
ルーマニア,該当なし: 検索条件を変えて検索してください。
英国,該当なし: 検索条件を変えて検索してください。
アンゴラ,該当なし: 検索条件を変えて検索してください。
ポーランド,"該当あり（2 件）: ['ポーランドパビリオン', 'ポーランドパビリオン：ショパンコンサート（コンサートホール入場のみ）※必ず10分前にはお越しください。']"
アイルランド,該当なし: 検索条件を変えて検索してください。
マレーシア,該当なし: 検索条件を変えて検索してください。
フィリピン,該当なし: 検索条件を変えて検索してください。
モザンビーク,該当なし: 検索条件を変えて検索してください。
空飛ぶクルマステーション,該当なし: 検索条件を変えて検索してください。
ぺルー,該当なし: 検索条件を変えて検索してください。
ヨルダン,該当なし: 検索条件を変えて検索してください。
アメリカ合衆国,該当なし: 検索条件を変えて検索してください。
フランス,該当なし: 検索条件を変えて検索してください。
ミャクミャクハウス,該当なし: 検索条件を変えて検索してください。
ロボット&モビリティステーション,"該当あり（3 件）: ['シグネチャーパビリオン 石黒浩「いのちの未来」\u3000一般', 'シグネチャーパビリオン 石黒浩「いのちの未来」 車いす対応', 'シグネチャーパビリオン 石黒浩「いのちの未来」 インクルーシブ']"
カタール,該当なし: 検索条件を変えて検索してください。
アラブ首長国連邦,該当なし: 検索条件を変えて検索してください。
カナダ,該当あり（1 件）: ['カナダパビリオン']
ポルトガル,該当なし: 検索条件を変えて検索してください。
コロンビア,該当なし: 検索条件を変えて検索してください。
スイス,該当なし: 検索条件を変えて検索してください。
オーストリア,該当なし: 検索条件を変えて検索してください。
ブラジル,該当なし: 検索条件を変えて検索してください。
クウェート,該当あり（1 件）: ['クウェート国パビリオン']
中華人民共和国,該当なし: 検索条件を変えて検索してください。
バーレーン,該当なし: 検索条件を変えて検索してください。
トルクメニスタン,該当なし: 検索条件を変えて検索してください。
北欧館,該当なし: 検索条件を変えて検索してください。
アイスランド,該当なし: 検索条件を変えて検索してください。
スウェーデン,該当なし: 検索条件を変えて検索してください。
デンマーク,該当なし: 検索条件を変えて検索してください。
ノルウェー,該当なし: 検索条件を変えて検索してください。
フィンランド,該当なし: 検索条件を変えて検索してください。
マルタ,該当なし: 検索条件を変えて検索してください。
チェコ,該当なし: 検索条件を変えて検索してください。
免税センター,該当なし: 検索条件を変えて検索してください。
国際赤十字・赤新月運動,該当あり（1 件）: ['国際赤十字・赤新月運動館']
国連,該当あり（1 件）: ['国連パビリオン']
国際機関館,該当なし: 検索条件を変えて検索してください。
Better Co-Being,該当あり（1 件）: ['シグネチャーパビリオン 宮田裕章 「Better Co-Being」']
宮田 裕章,該当なし: 検索条件を変えて検索してください。
