入場方法,所要時間,通常営業時間開始,通常営業時間区切り,通常営業時間終了,本日営業時間開始,本日営業時間区切り,本日営業時間終了,予約備考,ゾーン,パビリオン名称,予備
,,,入場方法(Reservation required or not for entering),,,,,,,,
,,,要予約 予約不要,,,,,,,,
,,,所要時間 通常時間,,,,,,,,
ゾーン,位置情報,パビリオン・施設名称,(Reservation required) (No reservation required) 本日の営業時間,,変更理由・備考,,,,,,
,,,(Duration) (Opening,,,,,,,,
(Zone),(Location),(Name of Pavilion),事前 当日 自由 その他 (min.) Hours)(Today's Opening Hours),,(Notes),,,,,,
,,,先着順,,,,,,,,
,,,予約 登録 入場 (Remarks),,,,,,,,
,,,"(First come,",,,,,,,,
,,,(Advance (On-the-day (Free,,,,,,,,
,,,First served),,,,,,,,
,,,Reservation) Reservation) Admission),,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C02,ルクセンブルク Luxembourg,〇 30 9:00 ~ 21:00 12:30 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C03,ドイツ Germany,〇 40 9:00 ~ 21:00 11:00 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C04,大韓民国 Republic of Korea,〇 〇 〇 30 9:30 ~ 21:00 17:00 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
,,カザフスタン Kazakhstan,,,,,,,,,
,C05,,〇 10 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,(コモンズ Commons-F),,,,,,,,,
,,アルメニア Armenia,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C05,,〇 10 9:00 ~ 21:00 12:30-21:00,,,,,,,,
,,(コモンズ Commons-F),,,ceremony),,,,,,
,,デジタルウォレットパーク,「ミャクポ!」との交換で,,,,,,,,
,C06,,〇 ー 11:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,Digital Wallet Park,入館可,,,,,,,,
,C07,アゼルバイジャン Azerbaijan,〇 20 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,C09,夜の地球 Earth at Night,〇 20 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,C10,モナコ Monaco,〇 60 9:30 ~ 21:00 通常通り(As usual),,,,,,,,
9:30 ~ 21:00コネクティング,C11,トルコ Türkiye,〇 20 9:30 ~ 21:00,,,,,,,,
ゾーン,,,,,,,,,,,
(リング内),,,9:00-10:00,,,,,,,,
,C12,タイ Thailand,〇 〇 〇 10 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
Connecting,,,当日予約なし,,,,,,,,
Lives Zone,,,,,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C13,スペイン Spain,〇 9:30 ~ 21:00 10:00 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C14,サウジアラビア王国 Saudi Arabia,〇 25 9:00 ~ 21:00 9:00 ~ 16:00,,,,,,,,
,,,,,ceremony),,,,,,
,C15,オーストラリア Australia,〇 〇 〇 15 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C16,インドネシア Indonesia,〇 30 9:00 ~ 21:00 14:00 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
,C18,ウズベキスタン Uzbekistan,〇 20 9:30 ~ 21:00 9:30 ~ 21:00,,,,,,,,
,C23,コモンズ Commons-B,〇 ー 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,C22,エジプト Egypt,〇 9:00 ~ 21:00 10:00 ~ 21:00,,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C21,セネガル Senegal,〇 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,,,,ceremony),,,,,,
,C20,バングラデシュ Bangladesh,〇 9:00 ~ 21:00 通常通り(As usual),,,,,,,,
,,,,,関係者のみによる式典を予定(Due to the opening,,,,,,
,C19,セルビア Serbia,〇 〇 〇 30 9:00 ~ 21:00 12:00 ~ 21:00,,,,,,,,
,,,,,ceremony),,,,,,
